,date,id,content,retweetCount,likeCount,place,inReplyToTweetId,retweetedTweet,coordinates,hashtags,lang
0,2022-11-20 23:59:59+00:00,1594480707031572481,@gummyjelly98 beb tolong cdm yaa,0,0,,,,,,in
1,2022-11-20 23:59:54+00:00,1594480686580105219,@pinceve cdm ya,1,1,,,,,,in
2,2022-11-20 23:59:53+00:00,1594480684344696833,Dans cette cdm y’avait TOUT,0,0,,1.594480150464299e+18,,,,fr
3,2022-11-20 23:59:35+00:00,1594480605454114818,J’ai l’impression que les gens oublient que c’est la première participation du Qatar en cdm mais ça pue tellement la haine contre eux je ne comprends même pas https://t.co/ba6ZTYfXc9,0,0,,,,,,fr
4,2022-11-20 23:59:34+00:00,1594480602861817856,@iKissDotae hi cdm ya kakk,0,0,,,,,,in
5,2022-11-20 23:59:28+00:00,1594480577549578241,tehe! saran weap buat scara enakan widsith (cdm%) atau blackcliff agate (cdm%),0,1,,,,,,in
6,2022-11-20 23:59:25+00:00,1594480564148600832,@youss_im chaque équipe qui a été l’hôte de la cdm à gagner son premier match depuis un siècle quasiment et le qatar a réussi à flop,0,0,,1.5944779199461294e+18,,,,fr
7,2022-11-20 23:59:24+00:00,1594480562562965504,@chaerasun cdm kak,0,0,,,,,,it
8,2022-11-20 23:59:18+00:00,1594480536923164672,@niwskala cdm kak,0,0,,1.5944796979575276e+18,,,,it
9,2022-11-20 23:58:50+00:00,1594480417889042433,Argentine sera en finale de CDM 2022 et gagnera cette coupe par tir au but M10. Vamos Léo M10#,0,0,,,,,,fr
